transaction_amount,time_since_last_transaction,merchant_category,account_age,is_foreign_transaction,device_mismatch,is_fraudulent
6.61,4.07,airline,428,0,0,0
23.67,66.95,gas_station,272,0,0,0
45.44,3.61,restaurant,60,0,0,0
18.09,14.37,gas_station,244,1,0,0
19.82,0.84,grocery,153,0,0,0
2.83,4.91,gas_station,408,0,0,0
17.89,11.81,gas_station,304,0,0,0
30.54,8.43,grocery,356,0,0,0
762.27,37.48,atm,183,0,0,0
17.96,26.52,atm,527,0,0,0
53.14,19.77,hotel,524,1,0,0
7.65,54.27,grocery,383,0,0,0
9.12,1.92,restaurant,513,0,0,0
63.96,39.07,online_retail,384,0,0,0
15.54,13.37,online_retail,291,0,0,0
5.76,28.3,other,455,0,0,0
25.99,78.77,hotel,350,0,0,0
235.86,7.84,grocery,651,0,0,0
9.37,11.08,grocery,398,0,0,0
80.83,2.27,grocery,370,0,0,0
41.19,39.79,online_retail,174,0,0,0
94.63,3.55,entertainment,293,0,0,0
4.02,2.35,atm,401,0,0,0
5.36,54.58,airline,549,0,0,0
47.18,11.18,entertainment,722,0,1,1
5.95,25.33,entertainment,98,0,0,0
30.51,17.06,pharmacy,30,0,0,0
28.25,23.94,gas_station,625,0,0,0
325.04,35.12,grocery,358,0,0,0
14.17,73.42,grocery,788,0,0,0
10.92,15.94,gas_station,202,0,0,0
117.09,22.91,pharmacy,103,0,0,0
30.53,19.32,other,219,0,0,0
946.46,25.19,restaurant,134,1,0,0
4083.29,8.1,other,30,0,0,0
30.75,7.6,atm,607,0,0,0
18.04,13.64,other,267,1,1,1
105.77,4.08,gas_station,301,0,0,0
169.8,13.73,hotel,410,1,0,0
15.43,8.95,online_retail,504,0,0,0
14.52,0.37,restaurant,469,0,0,0
31.88,24.68,grocery,433,0,0,0
25.2,41.24,restaurant,310,0,0,0
8.43,11.37,restaurant,56,0,0,0
5.82,16.45,other,200,0,0,0
35.92,7.95,other,700,0,0,0
32.86,48.44,atm,59,0,0,0
44.28,18.34,online_retail,260,0,0,0
557.89,72.19,restaurant,338,0,0,0
8.98,5.74,atm,489,1,0,0
2.48,52.48,gas_station,719,0,0,0
21.82,13.33,airline,270,1,0,0
63.71,70.61,entertainment,269,0,0,0
129.12,29.31,other,304,0,0,0
27.74,32.89,entertainment,199,0,0,0
31.74,0.29,atm,331,0,0,0
9.96,131.52,pharmacy,171,0,0,0
8.95,5.0,other,94,0,0,0
12.24,7.88,atm,355,0,0,0
87.94,64.78,gas_station,118,0,0,0
10.85,42.41,grocery,652,0,0,0
11.03,48.01,grocery,692,0,0,0
10.55,6.62,entertainment,636,0,0,0
34.31,23.1,airline,364,0,0,0
11.44,13.1,atm,872,0,0,0
286.49,10.36,gas_station,529,1,0,0
47.75,8.49,other,344,0,0,0
19.0,93.93,atm,135,0,0,0
208.92,12.27,airline,144,0,0,0
15.87,86.78,other,488,0,0,0
2170.96,10.56,gas_station,841,0,0,0
15.28,27.94,airline,342,0,0,0
11.62,15.9,other,119,0,0,0
22.82,3.43,restaurant,370,0,0,0
4.03,7.53,atm,405,0,0,0
24.7,15.42,other,363,1,0,0
12.93,3.28,entertainment,681,0,0,0
36.43,9.62,entertainment,292,0,0,0
11.11,4.57,hotel,192,0,0,0
466.47,88.6,airline,528,0,0,0
13.06,82.6,online_retail,463,0,0,0
14.78,8.17,atm,517,0,0,0
158.7,19.11,gas_station,30,0,0,0
6.49,21.73,airline,622,0,0,0
39.8,112.87,gas_station,336,0,0,0
97.53,3.61,entertainment,517,0,0,0
42.2,9.12,other,413,0,0,0
7.33,8.61,hotel,764,0,0,0
2.04,9.71,restaurant,651,0,0,0
69.92,53.84,online_retail,559,0,0,0
103.76,2.61,online_retail,357,0,0,0
24.1,12.62,gas_station,370,0,0,0
6.19,13.22,other,228,0,0,0
282.47,0.44,online_retail,244,1,0,1
14.45,4.34,online_retail,270,0,0,0
59.99,12.22,entertainment,205,0,0,0
57.5,61.52,hotel,315,0,0,0
15.48,3.64,airline,126,1,0,0
8.11,5.74,grocery,220,0,0,0
6.64,138.43,grocery,152,0,0,0
12.83,23.54,airline,30,0,0,0
123.72,15.74,pharmacy,293,0,0,0
33.58,17.95,grocery,306,1,0,0
1438.79,6.02,airline,370,0,0,0
23.18,30.62,restaurant,560,0,0,0
25.86,26.47,atm,30,1,0,0
27.95,29.21,grocery,539,0,0,0
4.91,7.49,atm,602,0,0,0
23.72,101.39,hotel,169,0,0,0
39.34,3.6,online_retail,585,0,0,0
9.4,12.47,pharmacy,364,0,0,0
96.59,4.63,grocery,30,0,1,0
14.18,22.18,other,404,1,0,0
17.73,22.62,pharmacy,781,0,0,0
11.3,16.46,gas_station,389,0,0,0
5.32,29.29,airline,53,0,0,0
37.41,10.75,grocery,50,0,0,0
16.02,49.52,airline,621,0,0,0
26.23,28.36,entertainment,511,0,1,1
24.72,20.14,other,218,0,0,0
78.01,32.8,online_retail,293,0,0,0
33.15,1.92,atm,30,0,0,0
154.84,32.13,grocery,462,0,0,0
58.29,38.48,hotel,884,0,0,0
26.76,31.63,grocery,30,0,0,0
7.02,1.03,grocery,315,0,0,0
35.27,96.86,airline,58,0,0,0
101.61,6.29,gas_station,281,0,0,0
5.76,17.53,online_retail,479,0,0,0
11.35,4.01,restaurant,223,0,0,0
10.88,52.7,entertainment,287,0,1,1
16.43,7.93,pharmacy,541,0,0,0
11.97,45.72,airline,409,0,0,0
47.6,18.83,grocery,413,0,0,0
45.63,28.69,other,466,0,0,0
17.14,15.03,hotel,410,1,0,0
9.19,2.11,grocery,241,0,0,0
24.28,0.45,entertainment,345,0,0,0
23.94,1.69,grocery,446,0,0,0
19.27,45.92,online_retail,585,0,0,0
62.59,6.98,hotel,273,0,0,0
16.81,28.4,online_retail,457,0,0,0
30.9,46.74,online_retail,413,0,0,0
25.62,6.27,restaurant,379,0,0,0
28.3,35.37,gas_station,456,0,0,0
40.81,15.76,hotel,439,0,0,0
22.83,7.52,airline,228,0,0,0
6.18,12.08,pharmacy,569,0,0,0
153.4,6.65,entertainment,355,0,1,0
18.36,35.89,gas_station,406,1,0,0
337.31,3.42,hotel,218,0,0,0
22.94,54.37,entertainment,727,0,0,0
57.37,2.0,online_retail,257,0,0,0
1805.45,4.3,gas_station,158,0,0,0
113.02,6.22,airline,452,0,0,0
7.22,0.75,grocery,297,0,0,0
80.19,35.04,airline,516,0,0,0
21.68,22.37,gas_station,484,0,0,0
10.25,43.39,grocery,30,0,0,0
15.01,6.82,airline,727,1,0,0
57.23,0.22,grocery,305,0,0,0
32.36,1.83,other,755,0,0,0
5.49,22.33,atm,62,0,0,0
120.44,19.6,online_retail,350,0,0,0
353.92,65.19,atm,158,0,0,0
101.08,27.8,gas_station,56,0,0,0
9.65,5.01,hotel,466,0,0,0
24.96,43.7,other,344,0,0,0
13.44,38.09,online_retail,420,0,0,0
102.63,2.71,gas_station,352,0,0,0
35.32,12.43,online_retail,436,0,0,0
37.92,40.87,airline,560,0,0,0
2.67,19.08,grocery,579,0,0,0
55.14,14.94,restaurant,489,0,0,0
3.93,15.54,hotel,399,0,0,0
26.61,62.83,online_retail,327,0,0,0
7.47,38.99,restaurant,144,0,0,0
95.46,41.58,hotel,171,0,0,0
4.08,79.08,online_retail,453,1,0,0
2.06,0.06,pharmacy,374,0,0,0
63.4,55.27,grocery,304,0,0,0
11.47,26.43,gas_station,251,0,0,0
18.54,18.4,pharmacy,583,1,0,0
183.19,11.9,entertainment,427,0,0,0
107.52,28.3,hotel,254,0,0,0
57.15,35.55,online_retail,248,0,0,0
9.4,38.67,atm,371,0,0,0
41.8,5.07,gas_station,699,0,0,0
7.46,18.42,entertainment,490,0,1,0
12.19,87.74,pharmacy,607,0,0,0
11.85,41.98,pharmacy,437,0,0,0
13.36,11.51,gas_station,382,0,0,0
29.62,60.44,pharmacy,863,0,0,0
20.66,23.73,airline,719,0,0,0
13.01,75.7,gas_station,256,0,0,0
45.5,34.74,online_retail,30,0,0,0
21.26,81.03,online_retail,470,0,0,0
36.6,25.21,restaurant,593,0,0,0
38.32,8.47,hotel,639,0,0,0
9.91,28.28,grocery,397,0,0,0
33.1,13.33,atm,822,0,0,0
6.23,42.18,atm,448,0,0,0
29.58,27.42,airline,638,0,0,0
35.85,19.06,atm,126,0,0,0
5.09,14.76,atm,42,0,0,0
9.67,39.72,grocery,347,0,0,0
73.83,1.66,airline,677,0,0,0
522.81,0.93,hotel,291,1,1,1
9.0,8.44,online_retail,624,0,0,0
12.99,25.91,airline,564,0,0,0
26.61,35.76,entertainment,179,0,0,0
39.92,15.43,gas_station,656,0,0,0
13.94,63.17,hotel,197,1,0,0
53.21,7.68,online_retail,320,0,0,0
27.22,44.98,entertainment,418,0,0,0
99.4,1.33,pharmacy,199,0,0,0
11.0,80.55,restaurant,419,0,0,0
12.24,22.72,pharmacy,727,0,0,0
17.49,0.23,grocery,120,0,0,0
10.8,25.72,entertainment,698,0,0,0
26.52,0.13,other,655,0,0,0
61.69,44.28,pharmacy,201,0,0,0
4.86,28.55,atm,30,1,0,0
6.17,49.77,restaurant,390,0,0,0
55.93,7.55,restaurant,483,0,0,0
12.77,29.52,online_retail,30,0,0,0
18.49,21.88,entertainment,340,0,0,0
6.84,3.02,pharmacy,425,0,0,0
108.53,28.71,restaurant,699,0,0,0
16.53,4.94,grocery,503,0,0,0
306.67,61.42,entertainment,165,0,0,0
16.38,6.81,airline,351,0,0,0
23.9,1.14,gas_station,331,0,0,0
48.62,55.22,gas_station,435,0,0,0
32.7,23.5,atm,476,0,0,0
35.41,14.96,entertainment,243,1,0,0
55.26,37.65,grocery,30,0,0,0
1.08,69.92,entertainment,275,0,0,0
20.51,39.41,other,219,0,0,0
19.36,18.89,online_retail,389,0,0,0
14.01,14.4,other,467,0,0,0
22.53,7.97,other,170,0,0,0
22.49,8.12,entertainment,77,0,0,0
72.31,18.28,other,768,0,0,0
255.61,0.81,airline,401,0,0,0
6.28,2.09,entertainment,369,0,0,0
63.35,4.36,pharmacy,651,0,0,0
9.28,0.72,online_retail,203,0,0,0
7.34,15.29,entertainment,592,0,0,0
54.2,29.88,airline,413,0,0,0
31.42,13.72,pharmacy,122,0,0,0
785.6,32.26,gas_station,603,1,0,0
36.11,7.86,restaurant,270,0,0,0
204.85,8.7,online_retail,509,0,0,0
39.35,2.82,airline,744,0,0,0
14.83,38.91,online_retail,355,1,0,0
34.5,43.9,hotel,541,0,0,0
187.63,14.34,airline,438,1,0,0
61.24,21.89,restaurant,305,0,0,0
23.31,50.34,pharmacy,344,0,1,0
9.64,42.72,restaurant,372,0,0,0
20.65,1.6,grocery,140,0,0,0
18.59,37.32,restaurant,491,0,0,0
8.64,25.35,gas_station,323,0,0,0
22.34,57.1,restaurant,271,0,0,0
2.54,22.65,online_retail,381,1,1,1
59.41,20.37,other,249,0,0,0
16.54,2.9,restaurant,404,1,0,0
861.01,4.33,airline,347,0,0,0
33.41,8.88,other,393,0,0,0
2.34,3.1,airline,221,0,0,0
10.49,26.5,entertainment,526,0,0,0
31.55,32.42,pharmacy,150,0,0,0
50.28,14.3,hotel,255,0,0,0
47.25,44.84,pharmacy,622,0,0,0
8.98,21.42,gas_station,179,0,0,0
15.3,11.98,airline,350,0,0,0
16.2,10.19,online_retail,410,0,1,0
31.08,2.56,atm,630,0,0,0
153.8,4.4,gas_station,270,0,0,0
6.7,0.57,atm,292,0,0,0
14.38,42.07,grocery,405,0,1,0
279.48,4.42,atm,30,0,0,0
8.39,1.43,atm,377,0,0,0
159.83,16.11,restaurant,181,0,0,0
6.04,14.85,hotel,271,0,0,0
26.2,48.96,atm,718,0,0,0
13.53,0.84,pharmacy,340,0,0,0
3.41,8.08,grocery,617,0,0,0
24.23,31.05,atm,354,0,0,0
64.44,53.66,restaurant,324,0,0,0
8.48,63.57,pharmacy,555,0,0,0
10.73,5.68,entertainment,537,0,0,0
14.06,1.72,airline,401,0,0,0
7.69,27.91,pharmacy,560,0,0,0
131.69,0.15,restaurant,30,1,0,1
16.79,1.82,airline,381,0,0,0
10.7,12.46,pharmacy,312,0,0,0
3.85,25.05,pharmacy,605,0,0,0
59.73,19.41,online_retail,143,0,0,0
57.99,3.7,hotel,916,0,0,0
45.25,12.36,entertainment,365,1,0,0
8.51,2.58,grocery,590,0,0,0
57.97,68.75,restaurant,319,0,0,0
1.75,24.04,airline,338,0,0,0
14.01,7.83,grocery,444,0,0,0
1.78,48.21,restaurant,358,0,0,0
4.87,35.02,gas_station,30,0,0,0
46.41,38.18,hotel,626,0,0,0
8.15,9.1,atm,296,0,0,0
1098.92,36.56,atm,468,0,0,0
7.43,12.43,grocery,314,0,0,0
1655.53,14.56,grocery,254,0,0,0
36.3,7.41,atm,613,0,0,0
131.94,19.08,online_retail,522,0,1,1
25.63,14.7,pharmacy,427,0,0,0
46.95,111.03,hotel,719,0,0,0
21.15,10.92,other,289,0,0,0
27.82,24.25,grocery,291,0,0,0
3.2,29.52,gas_station,454,0,0,0
74.51,34.36,other,221,0,0,0
10.83,18.98,restaurant,324,0,1,0
13.08,77.63,online_retail,482,0,0,0
31.89,21.61,hotel,200,0,0,0
18.32,46.22,online_retail,445,0,0,0
32.21,35.44,pharmacy,592,0,0,0
12.31,17.35,pharmacy,458,0,1,1
